customer_id,name,email,age,purchase_frequency,phone
1,Sundar Torvalds,invalid_email,5,low,0722-250865
2,Jeff Pichai,invalid_email,51,high,0776-947453
3,Larry Page,larry.page@example.com,32,low,0721-396539
4,Larry Gates,larry.gates@example.com,53,high,0796-822934
5,Elon Pichai,elon.pichai@example.com,96,high,0713-495189
6,Mark Torvalds,mark.torvalds@example.com,,low,0776-543945
7,Steve Torvalds,steve.torvalds@example.com,44,high,0780-151609
8,Bill Zuckerberg,invalid_email,,high,0710-308112
9,Steve Bezos,invalid_email,25,high,0795-933114
10,Sergey Brin,sergey.brin@example.com,84,low,0714-976248
11,Sundar Nadella,sundar.nadella@example.com,57,low,0745-771634
12,Satya Nadella,satya.nadella@example.com,,high,0726-152438
13,Mark Brin,invalid_email,,high,0798-583054
14,Sundar Pichai,sundar.pichai@example.com,92,low,0769-500775
15,Satya Zuckerberg,satya.zuckerberg@example.com,65,medium,0719-848390
16,Linus Musk,invalid_email,,low,0716-795470
17,Steve Brin,invalid_email,29,low,0774-715049
18,Sergey Pichai,sergey.pichai@example.com,75,high,0771-666999
19,Satya Jobs,satya.jobs@example.com,23,high,0768-589542
20,Mark Gates,invalid_email,,medium,0755-420550
21,Jeff Zuckerberg,invalid_email,10,medium,0710-768405
22,Elon Page,elon.page@example.com,38,high,0749-995502
23,Sergey Zuckerberg,sergey.zuckerberg@example.com,,high,0786-952390
24,Mark Page,mark.page@example.com,18,high,0767-735982
25,Satya Brin,satya.brin@example.com,22,medium,0726-656196
26,Satya Gates,satya.gates@example.com,56,medium,0749-186362
27,Linus Jobs,linus.jobs@example.com,,low,0777-770594
28,Larry Pichai,larry.pichai@example.com,,high,0756-583952
29,Sundar Gates,sundar.gates@example.com,54,low,0737-846989
30,Mark Page,mark.page@example.com,,low,0785-768386
31,Elon Page,elon.page@example.com,87,low,0793-514870
32,Steve Pichai,steve.pichai@example.com,97,medium,0754-277020
33,Sundar Jobs,sundar.jobs@example.com,88,high,0764-170041
34,Mark Nadella,invalid_email,,medium,0785-887119
35,Satya Brin,satya.brin@example.com,77,medium,0750-406881
36,Steve Brin,steve.brin@example.com,26,medium,0745-361234
37,Jeff Bezos,jeff.bezos@example.com,,low,0756-834506
38,Linus Brin,linus.brin@example.com,58,medium,0783-806499
39,Mark Gates,mark.gates@example.com,11,high,0712-874826
40,Linus Brin,linus.brin@example.com,52,low,0734-412448
41,Sundar Gates,sundar.gates@example.com,,medium,0735-142637
42,Satya Brin,invalid_email,90,high,0757-872619
43,Sergey Gates,sergey.gates@example.com,61,medium,0757-187238
44,Larry Pichai,larry.pichai@example.com,0,high,0755-375928
45,Elon Gates,invalid_email,69,high,0732-156758
46,Sergey Page,invalid_email,,high,0779-757933
47,Satya Bezos,invalid_email,34,medium,0724-879226
48,Larry Jobs,larry.jobs@example.com,96,high,0741-354977
49,Sundar Jobs,invalid_email,50,high,0717-761785
50,Elon Pichai,invalid_email,,medium,0743-241305
51,Satya Gates,invalid_email,63,high,0749-279569
52,Sundar Gates,sundar.gates@example.com,59,medium,0776-349976
53,Larry Pichai,larry.pichai@example.com,,medium,0710-411872
54,Sundar Page,sundar.page@example.com,56,medium,0732-190859
55,Mark Bezos,mark.bezos@example.com,57,low,0738-702212
56,Sergey Nadella,sergey.nadella@example.com,33,low,0728-339310
57,Mark Musk,mark.musk@example.com,,medium,0774-294760
58,Bill Gates,bill.gates@example.com,6,low,0734-238794
59,Bill Bezos,bill.bezos@example.com,51,low,0762-818631
60,Steve Jobs,steve.jobs@example.com,69,low,0719-314360
61,Linus Page,linus.page@example.com,40,high,0766-224915
62,Satya Bezos,satya.bezos@example.com,97,medium,0746-908602
63,Linus Zuckerberg,linus.zuckerberg@example.com,51,high,0760-559831
64,Linus Bezos,linus.bezos@example.com,77,high,0753-141455
65,Mark Torvalds,mark.torvalds@example.com,,low,0733-515338
66,Satya Brin,satya.brin@example.com,,high,0733-172157
67,Larry Jobs,larry.jobs@example.com,45,low,0757-431620
68,Satya Nadella,invalid_email,79,medium,0787-652269
69,Mark Page,mark.page@example.com,,medium,0733-418933
70,Jeff Torvalds,invalid_email,3,medium,0747-231820
71,Larry Jobs,larry.jobs@example.com,35,low,0786-931332
72,Bill Gates,bill.gates@example.com,72,medium,0795-719673
73,Jeff Pichai,jeff.pichai@example.com,59,medium,0739-961349
74,Linus Gates,linus.gates@example.com,12,low,0793-227807
75,Larry Bezos,larry.bezos@example.com,45,medium,0741-899975
